,DWS,Exp,Height,OWS,Player,Pos,Salary,Team,WS,WS_Per_48,Year
13,0.7,2,6-8,0.2,Dontonio Wingfield,SF,500000,POR,0.8999999999999999,0.079,1997
0,0.7,8,6-9,1.6,Mark Bryant,PF,1150000,PHO,2.3,0.109,1997
1,0.9,8,6-4,2.4,Rex Chapman,SG,247500,PHO,3.3,0.086,1997
2,0.1,R,6-9,0.0,Ben Davis,PF,220000,PHO,0.1,0.037,1997
3,0.0,2,6-6,0.0,Tony Dumas,SG,1120000,PHO,0.0,0.013,1997
4,0.7,4,6-9,0.0,Robert Horry,SF,1703000,PHO,0.7,0.046,1997
5,1.5,9,6-1,10.2,Kevin Johnson,PG,7000000,PHO,11.7,0.211,1997
6,1.3,2,6-4,2.0,Jason Kidd,PG,4408000,PHO,3.3,0.136,1997
7,0.3,11,6-11,0.0,Joe Kleine,C,1235000,PHO,0.3,0.001,1997
8,2.4,8,6-10,2.8,Danny Manning,PF,6833000,PHO,5.199999999999999,0.117,1997
9,0.3,1,6-10,0.0,Loren Meyer,PF,639000,PHO,0.3,0.009,1997
10,0.3,R,6-3,0.4,Steve Nash,PG,916000,PHO,0.7,0.047,1997
11,1.5,2,6-6,3.7,Wesley Person,SG,1040000,PHO,5.2,0.108,1997
12,0.4,11,6-9,0.0,Wayman Tisdale,PF,3475000,PHO,0.4,0.046,1997
13,2.5,10,6-11,2.8,Hot Rod Williams,C,4151000,PHO,5.3,0.119,1997
0,0.9,1,6-6,1.2,Brent Barry,SG,958000,LAC,2.1,0.09,1997
1,0.5,3,6-2,0.7,Terry Dehere,PG,1905000,LAC,1.2,0.056,1997
2,0.3,10,7-0,0.0,Kevin Duckworth,C,247500,LAC,0.3,0.06,1997
3,0.7,2,5-11,3.9,Darrick Martin,PG,375000,LAC,4.6,0.121,1997
4,1.2,2,6-7,0.9,Lamond Murray,SF,2700000,LAC,2.1,0.078,1997
5,2.8,3,6-8,3.2,Bo Outlaw,PF,600000,LAC,6.0,0.133,1997
6,0.6,2,6-7,1.7,Eric Piatkowski,SG,1363000,LAC,2.3,0.146,1997
7,0.8,7,6-1,0.1,Pooh Richardson,PG,2721000,LAC,0.9,0.043,1997
8,0.5,4,7-0,0.0,Stanley Roberts,C,3250000,LAC,0.5,0.06,1997
9,2.2,3,6-7,0.7,Rodney Rogers,SF,2280000,LAC,2.9000000000000004,0.056,1997
10,0.1,6,7-1,0.0,Dwayne Schintzius,C,625000,LAC,0.1,0.002,1997
11,2.1,4,6-8,1.1,Malik Sealy,SG,1732000,LAC,3.2,0.063,1997
12,3.4,6,6-9,2.9,Loy Vaught,PF,3100000,LAC,6.3,0.106,1997
13,1.7,R,6-11,1.5,Lorenzen Wright,C,1480000,LAC,3.2,0.079,1997
0,0.7,6,6-1,2.0,Mahmoud Abdul-Rauf,PG,3100000,SAC,2.7,0.06,1997
1,0.6,6,7-0,0.1,Duane Causwell,C,2215000,SAC,0.7,0.06,1997
2,0.8,1,5-10,0.7,Tyus Edney,PG,247500,SAC,1.5,0.054,1997
3,0.6,9,6-5,1.1,Kevin Gamble,SF,1196000,SAC,1.7000000000000002,0.082,1997
4,0.7,2,6-9,0.3,Brian Grant,PF,1293000,SAC,1.0,0.075,1997
5,0.1,R,6-7,0.0,Devin Gray,PF,150200,SAC,0.1,0.07,1997
6,0.3,3,6-0,0.1,Bobby Hurley,PG,3068000,SAC,0.4,0.031,1997
7,1.7,5,6-8,1.2,Billy Owens,SF,3773000,SAC,2.9,0.069,1997
8,2.7,9,6-11,0.6,Olden Polynice,C,3140000,SAC,3.3000000000000003,0.055,1997
9,2.1,8,6-5,8.7,Mitch Richmond,SG,3575000,SAC,10.799999999999999,0.166,1997
10,0.2,R,7-0,0.0,Kevin Salvadori,C,247500,SAC,0.2,0.07,1997
11,0.4,6,6-7,0.2,Lionel Simmons,SF,3194000,SAC,0.6000000000000001,0.028,1997
12,3.2,2,6-8,2.2,Michael Smith,PF,1570000,SAC,5.4,0.102,1997
13,1.5,1,6-7,1.2,Corliss Williamson,SF,1051000,SAC,2.7,0.064,1997
0,0.3,7,6-2,1.4,B.J. Armstrong,PG,2400000,GSW,1.7,0.061,1997
1,0.0,6,6-1,0.4,Bimbo Coles,PG,1400000,GSW,0.4,0.019,1997
2,0.7,1,6-10,0.8,Andrew DeClercq,C,276000,GSW,1.5,0.07,1997
3,0.3,R,6-11,0.4,Todd Fuller,C,1125000,GSW,0.7,0.034,1997
4,0.8,2,6-9,0.5,Donyell Marshall,SF,3360000,GSW,1.3,0.059,1997
5,1.1,11,6-6,6.0,Chris Mullin,SF,2844000,GSW,7.1,0.124,1997
6,0.4,R,6-9,0.1,Ray Owes,PF,220000,GSW,0.5,0.036,1997
7,0.3,10,6-0,3.7,Mark Price,PG,3409000,GSW,4.0,0.102,1997
8,0.0,1,6-7,0.0,Lou Roe,SF,247500,GSW,0.0,0.0,1997
9,0.1,6,6-8,0.4,Donald Royal,SF,1700000,GSW,0.5,0.055,1997
10,1.3,1,6-10,3.1,Joe Smith,PF,2794000,GSW,4.4,0.068,1997
11,0.9,6,7-0,0.3,Felton Spencer,C,2694000,GSW,1.2,0.038,1997
12,1.1,4,6-5,7.0,Latrell Sprewell,SG,7000000,GSW,8.1,0.115,1997
0,1.0,7,6-7,0.3,Keith Askins,SF,750000,MIA,1.3,0.05,1998
1,2.2,4,6-10,1.1,Isaac Austin,C,384000,MIA,3.3000000000000003,0.113,1998
2,4.0,4,6-11,3.5,P.J. Brown,PF,3844800,MIA,7.5,0.152,1998
3,0.7,7,7-0,0.3,Duane Causwell,C,1211705,MIA,1.0,0.069,1998
4,0.1,5,6-6,0.0,Todd Day,SG,272250,MIA,0.1,0.102,1998
5,3.8,7,6-0,7.9,Tim Hardaway,PG,4800000,MIA,11.7,0.185,1998
6,2.5,2,6-4,4.5,Voshon Lenard,SG,2364597,MIA,7.0,0.129,1998
7,2.5,9,6-6,2.8,Dan Majerle,SG,2820000,MIA,5.3,0.131,1998
8,1.8,4,6-8,2.2,Jamal Mashburn,SF,4433334,MIA,4.0,0.113,1998
9,1.1,7,6-10,0.3,Terry Mills,PF,1000000,MIA,1.4000000000000001,0.057,1998
10,3.6,5,6-10,3.9,Alonzo Mourning,C,11254800,MIA,7.5,0.185,1998
11,2.4,6,6-1,1.7,Eric Murdock,PG,272250,MIA,4.1,0.139,1998
12,0.1,R,6-4,0.0,Charles Smith,SG,619200,MIA,0.1,0.122,1998
13,1.3,2,6-9,1.5,Mark Strickland,PF,272250,MIA,2.8,0.157,1998
0,2.3,3,6-3,1.4,Chris Childs,PG,3120000,NYK,3.6999999999999997,0.11,1998
1,1.7,10,6-11,1.0,Chris Dudley,C,1135000,NYK,2.7,0.084,1998
2,2.0,12,7-0,1.0,Patrick Ewing,C,20500000,NYK,3.0,0.168,1998
3,3.5,4,6-6,2.5,Allan Houston,SG,6000000,NYK,6.0,0.102,1998
4,2.9,6,6-6,4.0,Larry Johnson,SF,8460714,NYK,6.9,0.137,1998
5,3.3,4,6-6,1.9,Chris Mills,SF,3000000,NYK,5.199999999999999,0.113,1998
6,0.1,8,6-6,0.0,Pete Myers,SG,272250,NYK,0.1,0.149,1998
7,5.6,12,6-8,1.4,Charles Oakley,PF,2850000,NYK,7.0,0.122,1998
8,3.1,8,6-3,1.5,John Starks,SG,5112500,NYK,4.6,0.101,1998
9,4.5,3,6-2,2.6,Charlie Ward,PG,1054500,NYK,7.1,0.148,1998
10,1.2,16,6-8,0.9,Buck Williams,PF,1431000,NYK,2.1,0.135,1998
11,0.3,16,6-10,0.0,Herb Williams,PF,766667,NYK,0.3,0.041,1998
0,0.7,5,6-8,0.4,David Benoit,SF,609096,NJN,1.1,0.067,1998
1,1.4,13,6-9,1.1,Michael Cage,C,2055421,NJN,2.5,0.1,1998
2,1.7,4,6-3,6.6,Sam Cassell,PG,2500000,NJN,8.299999999999999,0.152,1998
3,0.0,3,7-0,0.2,Yinka Dare,C,1552500,NJN,0.2,0.058,1998
4,0.7,8,6-0,3.3,Sherman Douglas,PG,272250,NJN,4.0,0.112,1998
5,0.3,9,6-3,0.5,Kevin Edwards,SG,2640000,NJN,0.8,0.097,1998
6,1.5,6,6-10,0.9,Chris Gatling,PF,3656400,NJN,2.4,0.084,1998
7,3.0,7,6-5,2.9,Kendall Gill,SF,4400000,NJN,5.9,0.104,1998
8,0.0,8,6-10,0.2,Jack Haley,C,272250,NJN,0.2,0.058,1998
9,0.5,4,6-5,0.6,Lucious Harris,SG,1440000,NJN,1.1,0.08,1998
10,2.2,1,6-5,6.2,Kerry Kittles,SG,1559040,NJN,8.4,0.144,1998
11,0.0,5,6-10,0.2,Don MacLean,SF,2120000,NJN,0.2,0.058,1998
12,1.6,R,6-10,3.2,Keith Van Horn,PF,2655360,NJN,4.800000000000001,0.098,1998
13,2.3,7,6-9,6.1,Jayson Williams,C,2500000,NJN,8.399999999999999,0.172,1998
0,2.5,4,6-7,1.6,Calbert Cheaney,SG,3600000,WAS,4.1,0.069,1998
1,1.9,7,6-9,1.8,Terry Davis,PF,272250,WAS,3.7,0.103,1998
2,0.9,9,6-8,0.2,Harvey Grant,SF,4671875,WAS,1.1,0.037,1998
3,0.7,1,6-7,0.2,Darvin Ham,SF,272250,WAS,0.8999999999999999,0.069,1998
4,2.4,3,6-9,2.1,Juwan Howard,PF,11250000,WAS,4.5,0.086,1998
5,0.0,7,6-4,0.0,Tim Legler,SG,1105000,WAS,0.0,0.228,1998
6,1.9,5,6-7,4.6,Tracy Murray,SF,2040000,WAS,6.5,0.139,1998
7,0.0,3,6-5,0.0,Jimmy Oliver,SG,272250,WAS,0.0,0.228,1998
8,0.1,R,6-0,0.3,God Shammgod,PG,242250,WAS,0.4,0.169,1998
9,3.0,9,6-3,5.1,Rod Strickland,PG,3450000,WAS,8.1,0.129,1998
10,2.2,1,6-9,0.8,Ben Wallace,C,326700,WAS,3.0,0.125,1998
11,4.4,4,6-9,3.9,Chris Webber,C,9000000,WAS,8.3,0.142,1998
12,0.9,4,6-0,1.8,Chris Whitney,PG,1200000,WAS,2.7,0.12,1998
13,0.1,5,6-9,0.3,Lorenzo Williams,PF,1128000,WAS,0.4,0.169,1998
0,2.1,8,6-6,3.1,Nick Anderson,SF,4000000,ORL,5.2,0.149,1998
1,1.3,3,6-0,1.2,Darrell Armstrong,PG,350000,ORL,2.5,0.096,1998
2,0.6,1,6-8,0.2,Brian Evans,SF,607545,ORL,0.8,0.072,1998
3,3.6,10,6-10,3.6,Horace Grant,C,14285714,ORL,7.2,0.122,1998
4,0.8,4,6-7,0.3,Anfernee Hardaway,SG,7580000,ORL,1.1,0.085,1998
5,1.5,14,6-4,0.9,Derek Harper,SG,1560000,ORL,2.4,0.063,1998
6,0.0,7,6-10,0.0,Tim Kempton,PF,272250,ORL,0.0,0.271,1998
7,0.2,R,6-11,0.3,Jason Lawson,C,242250,ORL,0.5,0.28,1998
8,4.5,4,6-8,3.1,Bo Outlaw,PF,1000000,ORL,7.6,0.124,1998
9,1.3,11,6-0,0.5,Mark Price,PG,4090920,ORL,1.8,0.058,1998
10,1.4,16,6-11,0.6,Danny Schayes,C,690000,ORL,2.0,0.076,1998
11,1.7,9,6-11,1.0,Rony Seikaly,C,4002000,ORL,2.7,0.09,1998
12,2.0,6,6-8,2.5,Derek Strong,PF,326700,ORL,4.5,0.13,1998
13,0.1,R,6-9,0.3,Johnny Taylor,SF,901880,ORL,0.4,0.28,1998
14,0.9,11,6-6,1.2,Gerald Wilkins,SG,326700,ORL,2.1,0.096,1998
0,1.3,8,5-11,4.4,Dana Barros,PG,3400000,BOS,5.7,0.16,1998
1,1.0,R,6-3,1.6,Chauncey Billups,PG,2384640,BOS,2.6,0.096,1998
2,1.4,1,6-7,0.8,Bruce Bowen,SF,422500,BOS,2.2,0.081,1998
3,0.7,7,6-1,0.7,Dee Brown,SG,3500000,BOS,1.4,0.078,1998
4,2.1,2,6-10,1.4,Andrew DeClercq,C,1200000,BOS,3.5,0.108,1998
5,0.7,2,5-10,0.8,Tyus Edney,PG,400000,BOS,1.5,0.112,1998
6,0.6,8,6-9,0.4,Pervis Ellison,PF,2090000,BOS,1.0,0.113,1998
7,0.0,R,6-8,0.0,Dontae' Jones,SF,794880,BOS,0.0,0.036,1998
8,1.9,1,7-0,1.1,Travis Knight,C,2000000,BOS,3.0,0.096,1998
9,2.2,1,6-10,0.8,Walter McCarty,SF,862560,BOS,3.0,0.06,1998
10,1.9,R,6-7,2.2,Ron Mercer,SG,1768320,BOS,4.1,0.073,1998
11,0.9,3,6-6,0.8,Greg Minor,SG,2160000,BOS,1.7000000000000002,0.074,1998
12,0.1,1,6-10,0.0,Roy Rogers,PF,763080,BOS,0.1,0.036,1998
13,0.4,R,6-9,0.0,John Thomas,PF,640440,BOS,0.4,0.054,1998
14,4.0,1,6-8,0.8,Antoine Walker,PF,1864080,BOS,4.8,0.07,1998
0,2.7,7,6-10,1.8,Derrick Coleman,PF,8002800,PHI,4.5,0.1,1998
1,0.7,15,6-9,0.8,Terry Cummings,PF,1000000,PHI,1.5,0.106,1998
2,1.0,2,6-7,0.6,Mark Davis,SF,326700,PHI,1.6,0.01,1998
3,2.8,1,6-0,6.3,Allen Iverson,PG,3128640,PHI,9.1,0.138,1998
4,0.9,5,6-6,1.4,Jim Jackson,SG,4600000,PHI,2.3,0.062,1998
5,0.4,3,7-0,0.2,Eric Montross,C,1520000,PHI,0.6000000000000001,0.015,1998
6,0.1,5,6-3,0.2,Doug Overton,PG,326700,PHI,0.30000000000000004,0.098,1998
7,0.2,R,6-6,0.2,Anthony Parker,SG,754080,PHI,0.4,0.088,1998
8,0.6,2,6-6,0.3,Jerry Stackhouse,SF,2583360,PHI,0.8999999999999999,0.056,1998
9,0.2,R,6-8,0.1,Kebu Stewart,PF,242000,PHI,0.30000000000000004,0.098,1998
10,1.3,R,6-10,2.1,Tim Thomas,SF,1614240,PHI,3.4000000000000004,0.091,1998
11,0.1,4,6-4,0.0,Rex Walters,SG,1430000,PHI,0.1,0.022,1998
12,0.8,7,6-10,0.9,Scott Williams,C,2850000,PHI,1.7000000000000002,0.101,1998
0,0.0,R,6-6,0.0,Keith Booth,SF,597600,CHI,0.0,0.107,1998
1,1.9,6,6-2,2.5,Randy Brown,PG,1260000,CHI,4.4,0.075,1998
2,0.9,7,6-6,1.0,Jud Buechler,SF,500000,CHI,1.9,0.151,1998
3,2.2,4,6-7,1.5,Scott Burrell,SF,1430000,CHI,3.7,0.163,1998
4,1.1,2,6-8,0.9,Jason Caffey,PF,850920,CHI,2.0,0.138,1998
5,3.7,11,6-6,3.4,Ron Harper,PG,4560000,CHI,7.1,0.151,1998
6,5.4,12,6-6,10.4,Michael Jordan,SG,33140000,CHI,15.8,0.238,1998
7,1.2,9,6-3,2.5,Steve Kerr,PG,750000,CHI,3.7,0.161,1998
8,0.5,12,6-11,0.4,Joe Kleine,C,272250,CHI,0.9,0.016,1998
9,3.3,4,6-10,3.7,Toni Kukoc,SF,4560000,CHI,7.0,0.15,1998
10,2.8,6,7-2,0.6,Luc Longley,C,3184900,CHI,3.4,0.096,1998
11,3.0,10,6-8,3.7,Scottie Pippen,SF,2775000,CHI,6.7,0.193,1998
12,5.9,11,6-7,1.9,Dennis Rodman,PF,4500000,CHI,7.800000000000001,0.131,1998
13,0.6,10,7-0,0.3,Bill Wennington,C,1800000,CHI,0.8999999999999999,0.085,1998
0,2.1,2,5-11,1.2,Travis Best,PG,752000,IND,3.3,0.103,1998
1,0.0,R,6-9,1.6,Etdrick Bohannon,PF,272250,IND,1.6,0.151,1998
2,0.4,R,6-9,1.6,Austin Croshere,PF,1165440,IND,2.0,0.003,1998
3,3.6,4,6-9,3.8,Antonio Davis,PF,4500000,IND,7.4,0.162,1998
4,3.8,6,6-11,3.4,Dale Davis,C,5273333,IND,7.199999999999999,0.158,1998
5,1.4,2,6-4,0.9,Fred Hoiberg,SG,356400,IND,2.3,0.127,1998
6,3.1,10,6-1,4.4,Mark Jackson,PG,3200000,IND,7.5,0.15,1998
7,2.1,10,6-9,0.1,Derrick McKey,SF,3600000,IND,2.2,0.077,1998
8,2.8,10,6-7,9.2,Reggie Miller,SG,9031850,IND,12.0,0.206,1998
9,3.2,12,6-6,4.4,Chris Mullin,SF,2941500,IND,7.6000000000000005,0.168,1998
10,0.2,R,6-10,1.6,Mark Pope,SF,242000,IND,1.8,0.151,1998
11,2.2,3,6-8,1.1,Jalen Rose,SF,1852500,IND,3.3000000000000003,0.092,1998
12,3.6,9,7-4,2.5,Rik Smits,C,4000000,IND,6.1,0.141,1998
13,0.1,14,6-10,1.6,Mark West,C,650000,IND,1.7000000000000002,0.151,1998
0,0.7,1,6-1,0.5,Corey Beck,PG,272250,CHH,1.2,0.028,1998
1,0.0,10,5-3,0.0,Muggsy Bogues,PG,1800000,CHH,0.0,0.193,1998
2,0.7,11,6-4,1.0,Dell Curry,SG,3660000,CHH,1.7,0.085,1998
3,0.0,1,6-1,0.0,Tony Delk,PG,1000680,CHH,0.0,0.193,1998
4,3.0,8,7-1,2.9,Vlade Divac,C,4833333,CHH,5.9,0.157,1998
5,0.2,R,6-9,0.2,Tony Farmer,C,272250,CHH,0.4,0.109,1998
6,2.7,5,7-0,3.2,Matt Geiger,C,1402000,CHH,5.9,0.154,1998
7,3.5,8,6-7,5.7,Anthony Mason,PF,3471500,CHH,9.2,0.141,1998
8,1.7,6,6-5,1.5,Bobby Phills,SG,2900000,CHH,3.2,0.081,1998
9,1.1,7,6-9,0.6,J.R. Reid,PF,650000,CHH,1.7000000000000002,0.076,1998
10,2.0,8,6-7,7.4,Glen Rice,SF,4702000,CHH,9.4,0.136,1998
11,2.5,4,6-0,3.3,David Wesley,PG,1800000,CHH,5.8,0.098,1998
12,0.4,R,6-6,0.1,Travis Williams,SF,242000,CHH,0.5,0.065,1998
0,0.7,9,6-10,0.0,Greg Anderson,C,272250,ATL,0.7,0.09,1998
1,3.7,8,6-0,1.9,Mookie Blaylock,PG,3000000,ATL,5.6,0.099,1998
2,0.9,8,6-7,0.5,Chucky Brown,SF,272250,ATL,1.4,0.056,1998
3,2.7,12,6-6,2.9,Tyrone Corbin,SF,326700,ATL,5.6,0.098,1998
4,0.3,R,6-9,0.6,Chris Crawford,PF,242000,ATL,0.8999999999999999,0.17,1998
5,0.4,R,6-3,0.4,Ed Gray,SG,723840,ATL,0.8,0.083,1998
6,1.8,2,6-9,4.2,Alan Henderson,PF,1028400,ATL,6.0,0.144,1998
7,3.0,5,6-11,4.6,Christian Laettner,PF,5050000,ATL,7.6,0.159,1998
8,0.4,3,6-9,0.3,Anthony Miller,PF,272250,ATL,0.7,0.159,1998
9,5.2,6,7-2,5.6,Dikembe Mutombo,C,9615187,ATL,10.8,0.177,1998
10,1.0,3,6-3,1.9,Eldridge Recasner,SG,326700,ATL,2.9,0.095,1998
11,1.8,6,6-7,8.4,Steve Smith,SG,5400000,ATL,10.200000000000001,0.171,1998
12,0.0,1,5-10,0.0,Donald Whiteside,PG,272250,ATL,0.0,0.269,1998
0,2.8,R,6-5,2.6,Derek Anderson,SF,1107240,CLE,5.4,0.139,1998
1,0.3,4,6-5,0.1,Mitchell Butler,SG,272250,CLE,0.4,0.016,1998
2,0.0,3,6-6,0.4,Tony Dumas,SG,1330000,CLE,0.4,0.179,1998
3,1.4,7,6-10,0.5,Danny Ferry,PF,4000000,CLE,1.9,0.049,1998
4,0.0,4,6-4,0.4,Greg Graham,SG,1540000,CLE,0.4,0.179,1998
5,4.0,R,6-7,3.5,Cedric Henderson,SF,250000,CLE,7.5,0.072,1998
6,4.9,R,7-3,4.5,Zydrunas Ilgauskas,C,828000,CLE,9.4,0.189,1998
7,0.2,6,6-8,0.2,Henry James,PF,1000000,CLE,0.4,0.101,1998
8,5.9,8,6-10,0.9,Shawn Kemp,PF,8600000,CLE,6.800000000000001,0.118,1998
9,4.9,R,5-10,3.5,Brevin Knight,PG,949320,CLE,8.4,0.163,1998
10,5.0,3,6-6,5.3,Wesley Person,SG,3500000,CLE,10.3,0.155,1998
11,2.2,1,6-10,0.5,Vitaly Potapenko,C,1228560,CLE,2.7,0.052,1998
12,0.4,1,6-10,0.1,Shawnelle Scott,C,500000,CLE,0.5,0.132,1998
13,1.4,2,6-5,0.5,Bob Sura,SG,976920,CLE,1.9,0.036,1998
0,3.7,6,6-9,3.2,Bison Dele,C,4050000,DET,6.9,0.126,1998
1,1.2,12,6-3,4.8,Joe Dumars,SG,3000000,DET,6.0,0.122,1998
2,5.1,3,6-8,5.2,Grant Hill,SF,5850000,DET,10.3,0.149,1998
3,2.8,4,6-2,1.2,Lindsey Hunter,PG,1750000,DET,4.0,0.077,1998
4,1.0,9,6-8,0.6,Grant Long,PF,2610335,DET,1.6,0.104,1998
5,0.9,16,6-10,0.0,Rick Mahorn,C,480000,DET,0.9,0.064,1998
6,0.6,3,6-5,0.1,Aaron McKie,SF,1235000,DET,0.7,0.069,1998
7,0.2,R,6-5,0.0,Charles O'Bannon,SG,320000,DET,0.2,0.048,1998
8,0.4,R,6-11,0.5,Scot Pollard,C,818160,DET,0.9,0.141,1998
9,0.9,2,6-10,0.4,Theo Ratliff,C,928080,DET,1.3,0.111,1998
10,1.3,2,6-8,1.5,Don Reid,PF,1000000,DET,2.8,0.135,1998
11,2.0,5,6-8,1.2,Malik Sealy,SF,1150000,DET,3.2,0.093,1998
12,1.9,1,6-9,2.6,Jerome Williams,PF,652800,DET,4.5,0.166,1998
0,2.3,1,6-5,4.7,Ray Allen,SG,2052360,MIL,7.0,0.102,1998
1,2.0,6,5-11,3.1,Terrell Brandon,PG,1469440,MIL,5.1,0.136,1998
2,0.0,2,6-7,0.0,Tim Breaux,SF,272250,MIL,0.0,0.028,1998
3,0.9,3,6-5,2.1,Michael Curry,SG,500000,MIL,3.0,0.071,1998
4,0.7,1,6-9,0.1,Jamie Feick,PF,272250,MIL,0.7999999999999999,0.091,1998
5,2.1,10,6-9,3.1,Armen Gilliam,PF,2780400,MIL,5.2,0.119,1998
6,2.6,7,6-9,2.2,Tyrone Hill,PF,4110000,MIL,4.800000000000001,0.113,1998
7,0.5,R,6-9,0.1,Jerald Honeycutt,PF,300000,MIL,0.6,0.029,1998
8,3.8,4,6-11,2.7,Ervin Johnson,C,2281128,MIL,6.5,0.136,1998
9,0.8,9,6-11,0.1,Andrew Lang,C,2700000,MIL,0.9,0.047,1998
10,0.1,R,6-7,0.0,Jeff Nordgaard,PF,242000,MIL,0.1,0.043,1998
11,1.3,5,6-0,0.0,Elliot Perry,PG,2000000,MIL,1.3,0.035,1998
12,1.8,3,6-7,1.3,Glenn Robinson,SF,5510000,MIL,3.1,0.065,1998
0,1.5,1,6-11,1.3,Marcus Camby,C,2799240,TOR,2.8,0.022,1998
1,1.6,5,6-6,2.4,Doug Christie,SG,2012767,TOR,4.0,0.066,1998
2,0.1,R,5-10,0.0,Chris Garner,PG,242000,TOR,0.1,0.04,1998
3,0.1,4,6-8,0.2,Popeye Jones,PF,1886538,TOR,0.30000000000000004,0.038,1998
4,0.7,R,6-8,1.3,Tracy McGrady,SF,1359360,TOR,2.0,0.081,1998
5,0.0,2,6-1,1.0,Shawn Respert,SG,1602120,TOR,1.0,0.064,1998
6,0.0,3,6-11,0.5,Carlos Rogers,PF,1900000,TOR,0.5,0.064,1998
7,0.1,3,6-7,1.3,Reggie Slater,PF,350000,TOR,1.4000000000000001,0.042,1998
8,0.0,R,7-0,0.0,Ed Stokes,C,272500,TOR,0.0,0.0,1998
9,1.5,2,5-10,3.2,Damon Stoudamire,PG,1748760,TOR,4.7,0.074,1998
10,0.1,3,7-0,1.0,Zan Tabak,C,950000,TOR,1.1,0.064,1998
11,0.5,1,6-8,1.1,John Wallace,SF,903120,TOR,1.6,0.031,1998
12,0.3,5,6-8,0.5,Walt Williams,SF,3750000,TOR,0.8,0.044,1998
13,0.0,3,6-11,0.0,Sharone Wright,C,3500000,TOR,0.0,0.036,1998
0,1.4,1,6-6,2.9,Shandon Anderson,SG,1200000,UTA,4.3,0.127,1998
1,0.7,13,6-9,0.8,Antoine Carr,PF,1600000,UTA,1.5,0.068,1998
2,1.2,3,6-2,1.7,Howard Eisley,PG,1240000,UTA,2.9,0.081,1998
3,1.0,7,6-11,0.3,Greg Foster,C,504000,UTA,1.3,0.045,1998
4,2.1,11,6-3,7.4,Jeff Hornacek,SG,4195000,UTA,9.5,0.186,1998
5,0.0,R,6-1,0.0,Troy Hudson,PG,242000,UTA,0.0,0.075,1998
6,1.7,5,6-9,4.8,Adam Keefe,C,2300000,UTA,6.5,0.153,1998
7,4.3,12,6-9,12.1,Karl Malone,PF,5118578,UTA,16.4,0.259,1998
8,0.7,9,6-8,0.3,Chris Morris,SF,3000000,UTA,1.0,0.092,1998
9,2.1,2,7-2,0.1,Greg Ostertag,C,647400,UTA,2.2,0.084,1998
10,2.2,4,6-7,3.8,Bryon Russell,SF,2857144,UTA,6.0,0.13,1998
11,1.6,13,6-1,6.4,John Stockton,PG,5000000,UTA,8.0,0.206,1998
12,0.2,R,6-1,0.1,Jacque Vaughn,PG,601320,UTA,0.30000000000000004,0.122,1998
0,0.8,2,6-1,0.0,Cory Alexander,PG,562380,SAS,0.8,0.065,1998
1,2.1,7,6-4,1.6,Vinny Del Negro,SG,2298777,SAS,3.7,0.104,1998
2,7.2,R,6-11,5.6,Tim Duncan,PF,2967840,SAS,12.8,0.192,1998
3,1.5,8,6-8,0.0,Sean Elliott,SF,5333333,SAS,1.5,0.065,1998
4,1.2,1,6-2,0.0,Reggie Geary,PG,272250,SAS,1.2,0.023,1998
5,0.9,6,6-9,0.0,Carl Herrera,PF,1820000,SAS,0.9,0.006,1998
6,2.8,7,6-4,1.3,Jaren Jackson,SG,272250,SAS,4.1,0.088,1998
7,3.2,9,5-10,3.5,Avery Johnson,PG,3000000,SAS,6.7,0.12,1998
8,3.2,9,7-0,1.5,Will Perdue,C,1987500,SAS,4.7,0.151,1998
9,2.1,10,6-8,0.5,Chuck Person,PF,2470000,SAS,2.6,0.068,1998
10,6.0,8,7-1,7.8,David Robinson,C,12397440,SAS,13.8,0.269,1998
11,0.8,1,6-7,0.0,Malik Rose,PF,272250,SAS,0.8,0.044,1998
12,1.9,3,6-8,0.5,Monty Williams,SF,1235000,SAS,2.4,0.086,1998
0,0.4,2,6-5,0.7,Chris Carr,SG,900000,MIN,1.1,0.046,1998
1,0.1,1,6-9,0.1,Bill Curley,PF,1333800,MIN,0.2,0.068,1998
2,4.2,2,6-11,5.3,Kevin Garnett,PF,2109120,MIN,9.5,0.143,1998
3,1.5,5,6-10,3.4,Tom Gugliotta,SF,5500000,MIN,4.9,0.151,1998
4,0.5,3,6-4,0.6,Reggie Jordan,SG,272250,MIN,1.1,0.114,1998
5,1.1,1,6-2,4.2,Stephon Marbury,PG,2266320,MIN,5.300000000000001,0.082,1998
6,1.4,8,6-6,4.7,Sam Mitchell,SF,1400000,MIN,6.1,0.131,1998
7,1.8,2,6-11,2.0,Cherokee Parks,C,1262640,MIN,3.8,0.108,1998
8,0.9,12,6-3,4.3,Terry Porter,PG,2000000,MIN,5.2,0.139,1998
9,1.5,5,7-0,0.3,Stanley Roberts,C,3750000,MIN,1.8,0.064,1998
10,0.0,3,6-11,0.3,Clifford Rozier,C,272250,MIN,0.3,0.1,1998
11,0.2,8,6-6,0.6,Doug West,SG,2535000,MIN,0.8,0.004,1998
12,0.1,R,6-0,0.2,DeJuan Wheat,PG,242000,MIN,0.30000000000000004,0.072,1998
13,0.1,8,6-2,0.1,Micheal Williams,PG,2775000,MIN,0.2,0.08,1998
0,2.5,13,6-6,6.1,Charles Barkley,PF,2250000,HOU,8.6,0.183,1998
